"t Gyro";"abs Gyro";"t IMU";"abs IMU";"t GPS";"v GPS";"z GPS";"lat GPS";"lon GPS"
1.771545410E-1;5.567069679E-1;1.772460940E-1;9.264872400E0;3.499727259E1;1.373999977E1;2.635446167E2;5.077963399E1;6.049861440E0
1.820678710E-1;5.130153143E-1;1.821594240E-1;9.488564195E0;3.599769889E1;1.372999954E1;2.636066284E2;5.077961141E1;6.050052920E0
1.869812010E-1;4.723287832E-1;1.870727540E-1;9.699820212E0;3.699808634E1;1.307999992E1;2.643796387E2;5.077959275E1;6.050272580E0
1.918945320E-1;4.359920332E-1;1.919860840E-1;9.893307211E0;3.799443233E1;1.289999962E1;2.642812500E2;5.077954597E1;6.050462690E0
1.968078620E-1;4.031050497E-1;1.969299320E-1;1.003285027E1;3.899348165E1;1.125000000E1;2.638645020E2;5.077953256E1;6.050591750E0
2.017517090E-1;3.775957049E-1;2.018432620E-1;1.012706522E1;3.999998071E1;2.609999895E0;2.625029297E2;5.077953916E1;6.050521440E0
2.066650390E-1;3.586076420E-1;2.067565920E-1;1.020378148E1;4.098585358E1;1.830000043E0;2.629542847E2;5.077952967E1;6.050553690E0
2.115783690E-1;3.425870719E-1;2.116699220E-1;1.015384282E1;4.198523097E1;1.000000000E0;2.628429565E2;5.077952915E1;6.050566860E0
2.164917000E-1;3.329374978E-1;2.165832520E-1;1.018276610E1;4.299874952E1;1.000000000E0;2.628062744E2;5.077952769E1;6.050580820E0
2.214050300E-1;3.323604011E-1;2.214965830E-1;1.012631473E1;4.399107561E1;2.769999981E0;2.626007080E2;5.077951836E1;6.050625380E0
2.263488770E-1;3.320547078E-1;2.264404300E-1;1.005716933E1;4.500079634E1;3.279999971E0;2.622276611E2;5.077951455E1;6.050670030E0
2.312622070E-1;3.279977595E-1;2.313537600E-1;9.974318068E0;4.598932811E1;5.010000229E0;2.612529907E2;5.077951267E1;6.050769220E0
2.361755370E-1;3.180188753E-1;2.362670900E-1;9.927568012E0;4.699714566E1;5.929999828E0;2.628492432E2;5.077955420E1;6.050822800E0
2.410888670E-1;3.068787848E-1;2.411804200E-1;9.881853289E0;4.799161108E1;8.420000076E0;2.588956909E2;5.077966278E1;6.050843290E0
2.460021980E-1;2.927282662E-1;2.460937500E-1;9.884608685E0;4.898646764E1;8.180000305E0;2.584028320E2;5.077973635E1;6.050844020E0
2.509460450E-1;2.846921147E-1;2.510375980E-1;9.957821668E0;5.000396607E1;1.194999981E1;2.596275024E2;5.077986989E1;6.050848250E0
2.558593750E-1;2.795891600E-1;2.559509280E-1;1.002553404E1;5.098934748E1;1.390999985E1;2.599503174E2;5.078001447E1;6.050850780E0
2.607727050E-1;2.821392688E-1;2.608642580E-1;1.010143546E1;5.199222654E1;1.381000042E1;2.610322876E2;5.078013129E1;6.050843550E0
2.656860350E-1;2.850828611E-1;2.657775880E-1;1.015654936E1;5.299123784E1;1.417000008E1;2.615409546E2;5.078025482E1;6.050822790E0
2.706298830E-1;2.837590241E-1;2.706909180E-1;1.015845002E1;5.398282784E1;1.498999977E1;2.613280029E2;5.078040642E1;6.050784690E0
2.755432130E-1;2.803682194E-1;2.756347660E-1;1.014966130E1;5.498392243E1;1.556999969E1;2.610346069E2;5.078059620E1;6.050799950E0
2.804565430E-1;2.872104661E-1;2.805480960E-1;1.013839317E1;5.598487993E1;1.547999954E1;2.611962891E2;5.078074169E1;6.050800110E0
2.854003910E-1;3.012056492E-1;2.854614260E-1;1.004696390E1;5.698869644E1;1.567000008E1;2.613588867E2;5.078089803E1;6.050793250E0
2.903137210E-1;3.094570366E-1;2.903747560E-1;9.939913941E0;5.799965716E1;1.568999958E1;2.613670044E2;5.078104239E1;6.050778140E0
2.952270510E-1;3.149265138E-1;2.953186040E-1;9.855751382E0;5.893726691E1;0.000000000E0;0.000000000E0;5.078051280E1;6.050828500E0
3.001403810E-1;3.141800086E-1;3.002319340E-1;9.725505136E0;5.899556737E1;1.592000008E1;2.601798096E2;5.078119964E1;6.050791710E0
3.050537110E-1;3.085963809E-1;3.051452640E-1;9.626041436E0;5.998729576E1;1.565999985E1;2.591489868E2;5.078135489E1;6.050769300E0
3.099975590E-1;2.910487077E-1;3.100891120E-1;9.593146164E0;6.098578680E1;1.603000069E1;2.588974609E2;5.078150399E1;6.050746380E0
3.149108890E-1;2.709664088E-1;3.150024420E-1;9.642186225E0;6.199083170E1;1.593999958E1;2.602622070E2;5.078163631E1;6.050744090E0
3.198242190E-1;2.483176388E-1;3.199157720E-1;9.680813060E0;6.299601242E1;1.593000031E1;2.598690186E2;5.078178370E1;6.050751730E0
3.247375490E-1;2.309565494E-1;3.248291020E-1;9.743516163E0;6.399433086E1;1.539999962E1;2.608718262E2;5.078191198E1;6.050750570E0
3.296508790E-1;2.166634124E-1;3.297424320E-1;9.825928701E0;6.499381107E1;1.542000008E1;2.599986572E2;5.078204367E1;6.050750750E0
3.345947270E-1;2.019547615E-1;3.346862800E-1;9.798847944E0;6.600330878E1;1.559000015E1;2.578867188E2;5.078218253E1;6.050742470E0
3.395080570E-1;1.930876114E-1;3.395996100E-1;9.812459442E0;6.699536211E1;1.569999981E1;2.584179077E2;5.078231633E1;6.050741060E0
3.444213870E-1;1.884267511E-1;3.445129400E-1;9.797382928E0;6.799406440E1;1.585999966E1;2.592633057E2;5.078245139E1;6.050733690E0
3.493347170E-1;1.882132899E-1;3.494262700E-1;9.838435870E0;6.898601039E1;1.612999916E1;2.588577881E2;5.078259875E1;6.050724840E0
3.542785650E-1;1.862058714E-1;3.543396000E-1;9.806612214E0;6.998885831E1;1.657999992E1;2.576488037E2;5.078276211E1;6.050725730E0
3.591918950E-1;1.806962120E-1;3.592834480E-1;9.758578029E0;7.099134492E1;1.643000031E1;2.557593994E2;5.078292013E1;6.050710820E0
3.641052250E-1;1.839980793E-1;3.641967780E-1;9.771922845E0;7.199562013E1;1.623999977E1;2.547797852E2;5.078306622E1;6.050701930E0
3.690490730E-1;1.860797014E-1;3.691101080E-1;9.804292885E0;7.299009028E1;1.606999969E1;2.544453125E2;5.078321765E1;6.050706060E0
3.739624030E-1;1.910895585E-1;3.740234380E-1;9.833834590E0;7.399652987E1;1.619000053E1;2.539027710E2;5.078336698E1;6.050712080E0
3.788757330E-1;1.982679568E-1;3.789672860E-1;9.811918682E0;7.499868216E1;1.632999992E1;2.531504517E2;5.078351082E1;6.050723330E0
3.837890630E-1;2.042431209E-1;3.838806160E-1;9.755095813E0;7.598898908E1;1.620000076E1;2.531513062E2;5.078365772E1;6.050727590E0
3.887023930E-1;2.069685994E-1;3.887939460E-1;9.715211609E0;7.699736903E1;1.606999969E1;2.538215332E2;5.078380074E1;6.050733630E0
